Site,2015-10-19,2015-10-20,2015-10-22,2015-10-23,2015-10-24,2015-10-26,2015-10-29,2015-10-30,2015-10-31,2015-11-12,2015-11-13,2015-11-14,2015-11-15,2015-11-16,2015-11-17,2015-11-18,2015-11-19,2015-11-20,2015-11-22,2015-11-24,2015-11-25,2015-11-26,2015-11-27,2015-11-28,2015-11-29,2015-11-30,2015-12-01,2015-12-02,2015-12-03,2015-12-04,2015-12-05,2015-12-06,2015-12-07,2015-12-08,2015-12-11,2015-12-12,2015-12-13,2015-12-14,2015-12-15,2015-12-16,2015-12-17,2015-12-18,2015-12-19,2015-12-20,2015-12-22,2015-12-23,2015-12-24,2015-12-25,2015-12-26,2015-12-27,2015-12-28,2015-12-29,2015-12-30,2015-12-31,2016-01-01,2016-01-02,2016-01-03,2016-01-04,2016-01-05,2016-01-06,2016-01-07,2016-01-08,2016-01-09,2016-01-10,2016-01-11,2016-01-12,2016-01-13,2016-01-14,2016-01-15,2016-01-16,2016-01-17,2016-01-18,2016-01-19,2016-01-20,2016-01-21,2016-01-22,2016-01-23,2016-01-24,2016-01-25,2016-01-26,2016-01-27,2016-01-28,2016-01-30,2016-01-31,2016-02-01,2016-02-02,2016-02-03,2016-02-04,2016-02-05,2016-02-06,2016-02-07,2016-02-08,2016-02-09,2016-02-10,2016-02-11,2016-02-12,2016-02-13,2016-02-14,2016-02-15,2016-02-16,2016-02-17,2016-02-18,2016-02-19,2016-02-20,2016-02-21,2016-02-22,2016-02-23,2016-02-24,2016-02-25,2016-02-26,2016-02-27,2016-02-28,2016-02-29,2016-03-02,2016-03-03,2016-03-04,2016-03-05,2016-03-06,2016-03-07,2016-03-09,2016-03-10,2016-03-11,2016-03-12,2016-03-13,2016-03-14,2016-03-15,2016-03-16,2016-03-17,2016-03-18,2016-03-19,2016-03-20,2016-03-21,2016-03-22,2016-03-23,2016-03-25,2016-03-26,2016-03-27,2016-03-28,2016-03-29,2016-03-30,2016-04-01,2016-04-02,2016-04-03,2016-04-04,2016-04-05,2016-04-06,2016-04-07,2016-04-08,2016-04-09,2016-04-10,2016-04-11,2016-04-12,2016-04-13,2016-04-14,2016-04-15,2016-04-16,2016-04-17,2016-04-18,2016-04-19,2016-04-20,2016-04-21,2016-04-22,2016-04-23,2016-04-24,2016-04-25,2016-04-26,2016-04-27,2016-04-28,2016-04-29,2016-04-30,2016-05-01,2016-05-02,2016-05-03,2016-05-04,2016-05-05,2016-05-06,2016-05-07,2016-05-08,2016-05-09,2016-05-10,2016-05-11,2016-05-12,2016-05-13,2016-05-14,2016-05-15,2016-05-16,2016-05-17,2016-05-18,2016-05-19,2016-05-20,2016-05-21,2016-05-24,2016-05-27,2016-05-30,2016-06-02,2016-06-05,2016-06-08,2016-06-11,2016-06-14,2016-06-17,2016-06-20,2016-06-26,2016-06-29,2016-07-02,2016-07-05,2016-07-08,2016-07-11,2016-07-14,2016-07-17,2016-07-20,2016-07-23,2016-07-26,2016-07-29,2016-08-01,2016-08-04,2016-08-07,2016-08-10,2016-08-13,2016-08-16,2016-08-19,2016-08-22,2016-08-25,2016-08-28,2016-08-31,2016-09-03,2016-09-06,2016-09-09,2016-09-12,2016-09-15,2016-09-18,2016-09-21,2016-09-24,2017-03-04,2017-03-06,2017-03-08,2017-03-10,2017-03-12,2017-03-16,2017-03-18,2017-03-20,2017-03-22,2017-03-26,2017-03-28,2017-03-30,2017-04-01,2017-04-03,2017-04-05,2017-04-07,2017-04-09,2017-04-11,2017-04-13,2017-04-15,2017-04-17,2017-04-19,2017-04-21,2017-04-23,2017-04-25,2017-04-27,2017-04-29,2017-05-01,2017-05-05,2017-05-07,2017-05-11,2017-05-13,2017-05-15,2017-05-17
www.lotgd.net,140,151,151,169,156,151,161,145,132,120,119,112,116,134,127,147,143,141,119,134,142,145,129,115,120,140,139,153,162,139,135,143,156,157,143,129,128,133,138,130,125,135,146,134,124,120,129,119,112,115,139,132,123,127,115,126,118,147,141,135,135,129,129,116,141,142,138,125,125,118,108,124,147,151,139,144,137,128,147,146,143,144,124,128,144,149,130,133,139,133,119,127,133,128,123,131,124,114,129,135,141,133,135,123,120,142,131,126,137,147,138,123,135,148,136,138,130,128,128,141,136,133,113,107,130,135,134,137,127,127,122,142,131,130,119,111,100,121,125,136,121,119,101,126,140,134,144,137,130,118,129,141,142,139,131,121,97,118,126,127,141,129,117,108,136,122,109,150,108,108,95,110,119,123,107,106,107,96,119,119,129,118,103,107,97,95,107,101,106,98,104,118,109,94,106,108,0,105,108,117,105,90,98,92,107,110,106,115,93,108,100,117,97,89,108,82,99,84,113,113,101,99,94,115,105,121,107,103,107,89,91,80,116,112,123,131,118,139,131,118,146,117,122,135,146,133,113,112,105,117,123,109,107,103,108,91,121,109,98,92,104,87,108,104,89,117
www.dragonsofmyth.com,30,29,39,36,20,20,27,24,23,44,37,25,26,36,26,27,29,42,24,16,34,18,24,22,25,24,33,30,47,39,30,24,34,50,50,37,29,31,36,44,39,40,41,38,36,43,34,33,28,31,27,38,28,35,30,21,25,24,21,24,24,36,21,28,23,21,20,27,25,30,31,24,21,28,33,28,29,23,17,22,26,28,28,26,22,25,42,39,33,24,17,23,24,20,25,22,19,24,20,20,18,25,18,26,36,32,28,23,29,33,26,15,33,31,28,17,14,23,27,25,19,22,20,17,20,18,17,19,17,14,14,17,16,15,10,10,14,11,15,18,14,17,16,43,39,13,12,14,11,9,10,12,13,12,13,15,13,16,8,12,42,45,14,14,11,10,7,8,8,9,13,18,15,10,11,13,12,7,8,12,13,11,16,16,17,18,24,17,16,10,13,13,13,16,8,9,13,8,10,9,11,10,13,10,20,12,16,13,13,19,14,10,19,20,18,14,15,19,21,17,17,27,24,23,24,17,16,16,18,16,16,19,25,24,24,32,27,22,25,21,21,32,25,20,21,11,20,12,10,16,16,18,23,26,24,21,19,19,14,13,23,15,18,13,17,17
stormvalley.rpglink.in,7,7,8,5,8,6,7,8,7,7,5,4,4,4,4,5,8,6,5,6,3,3,3,3,4,6,6,5,3,3,3,6,5,4,2,3,3,5,3,4,3,5,4,3,3,3,3,4,4,5,5,5,5,7,13,13,7,7,7,10,9,9,6,6,5,5,6,4,4,4,7,7,5,6,6,7,8,7,6,9,6,9,6,4,7,7,7,7,9,9,8,8,6,8,5,6,7,11,7,5,6,7,6,5,6,5,5,5,5,6,7,6,3,3,4,4,5,6,8,7,6,6,5,8,9,4,2,3,3,5,5,7,4,4,4,4,5,6,6,5,4,6,3,4,6,5,4,5,6,7,9,7,6,5,5,3,3,3,2,5,4,3,4,2,3,3,2,3,2,2,4,5,2,5,5,6,5,3,4,7,4,6,6,4,2,3,2,2,3,3,2,6,4,3,3,2,5,4,2,3,2,4,5,4,7,7,7,9,6,5,6,7,4,3,2,3,4,5,6,4,3,4,6,3,7,7,3,3,5,3,6,3,10,10,6,5,5,14,7,12,16,11,12,9,6,8,5,7,11,8,5,8,8,6,4,5,4,5,7,4,7,8,8,8,7,7
dragonprimelogd.net,0,0,2,0,0,3,2,2,2,3,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,0,0,0,0,1,0,4,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,3,0,1,0,2,0,1,0,1,1,0,0,1,2,3,1,2,0,0,0,1,0,0,2,1,0,0,0,0,1,1,1,1,1,0,0,0,1,0,3,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,2,2,0,1,3,0,0,1,3,7,5,7,6,4,3,3,1,0,0,0,0,1,1,1,1,1,0,1,0,4,1,0,0,3,1,1,0,0,0,0,0,0,1,2,0,0,0,1,1,1,1,2,3,2,1,7,3,1,1,4,1,2,1,2,0,0,0,1,0,1,2,1,1,0,1,3,4,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,1,1,2,0,1,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0
forbiddenrealm.rpglink.in,73,88,71,81,62,84,76,84,79,67,68,67,57,57,62,66,61,55,58,69,65,57,62,71,68,65,74,73,71,60,50,58,63,76,63,68,64,77,88,87,83,84,78,64,76,72,68,66,62,65,68,78,67,70,67,59,60,58,74,67,61,55,62,65,68,77,74,65,62,67,63,68,78,79,76,66,57,58,59,62,61,70,91,81,82,81,76,96,95,85,83,102,106,94,94,102,92,78,92,91,67,72,78,71,63,76,75,74,76,64,70,62,57,69,74,61,48,63,63,79,73,77,68,66,65,57,58,58,52,53,50,49,58,68,49,44,48,42,45,45,56,60,46,47,52,45,47,53,39,45,51,37,30,23,32,30,40,48,52,44,39,40,30,44,45,51,56,48,52,60,50,40,44,55,45,52,44,42,42,63,58,43,44,44,35,36,40,47,43,36,38,39,38,41,44,44,50,40,37,27,35,62,61,62,68,55,57,66,61,67,57,68,64,49,56,54,44,50,40,55,61,68,86,103,80,82,89,93,89,69,85,88,68,80,76,77,75,64,63,75,67,68,67,54,61,66,59,55,75,64,67,67,62,67,67,69,47,67,59,56,46,49,39,39,66,44
enchantedland.rpglink.in,1,9,6,6,5,7,5,7,6,5,4,4,2,4,5,4,4,6,7,7,11,9,7,6,5,4,4,7,5,5,6,3,6,6,2,5,2,3,4,3,3,7,6,5,3,2,3,6,7,3,5,7,11,5,9,8,3,3,3,5,3,6,2,5,4,3,5,1,1,5,7,4,3,2,2,1,3,3,2,3,4,2,2,1,3,5,5,5,2,3,9,10,8,6,7,6,3,4,3,3,5,2,2,4,3,4,5,4,5,5,5,4,2,5,2,2,2,2,6,5,3,2,2,3,2,3,3,1,3,3,1,1,2,4,1,0,3,6,2,4,5,5,2,6,8,10,15,10,9,11,10,4,2,3,4,2,3,6,4,5,9,10,3,2,4,4,4,3,2,2,2,4,5,4,7,9,8,9,7,4,4,4,3,2,4,3,1,4,10,5,7,4,5,5,5,5,9,5,6,2,3,8,7,1,7,3,3,4,6,7,2,4,5,4,1,2,2,0,1,2,1,0,4,0,3,2,5,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,4
twx.rpglink.in,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,1,1,2,2,2,2,1,0,1,1,0,0,0,2,1,1,3,1,1,1,1,0,1,2,1,0,1,1,1,0,0,1,2,1,0,1,2,1,0,0,1,2,0,0,1,1,1,0,1,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,2,0,0,0,2,0,0,1,0,0,1,1,1,0,0,1,0,1,2,0,3,0,1,0,2,0,0,0,1,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ess.rpglink.in,2,1,1,1,2,4,1,1,1,2,2,1,0,1,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,2,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,2,3,3,1,1,1,0,1,1,1,0,1,2,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,0,1,0
lotgd4adults2.com,72,73,71,63,69,65,68,74,66,78,75,67,65,68,65,61,68,78,57,64,59,59,58,65,55,57,56,55,52,53,52,50,61,56,63,48,62,63,57,50,58,61,60,57,60,63,59,59,62,49,60,61,60,58,62,65,64,67,69,64,56,55,53,56,68,61,59,52,56,55,53,53,53,59,45,49,58,61,63,60,67,69,58,56,71,64,73,74,71,64,59,76,74,63,71,72,69,61,70,80,75,78,71,65,65,68,80,77,72,71,75,77,74,70,74,75,78,80,85,79,68,71,72,71,71,69,74,76,68,65,64,66,69,64,59,66,59,60,58,65,72,67,60,70,73,75,72,67,65,67,71,68,68,71,67,66,72,56,70,66,72,77,69,65,63,75,74,76,79,78,67,74,66,62,77,69,61,69,70,79,81,76,63,69,78,81,81,79,74,79,77,68,75,69,75,75,79,70,68,59,65,71,81,80,82,72,70,68,70,72,73,73,73,74,73,72,76,71,83,75,75,85,84,86,78,78,82,67,72,71,82,82,84,81,84,89,67,78,76,88,84,69,75,77,85,79,69,74,90,87,84,81,96,94,87,87,75,85,76,82,74,92,83,66,88,90
deathstar.rpglink.in,25,24,21,21,16,14,16,14,15,15,16,14,14,13,16,14,14,14,10,14,11,11,11,10,15,11,9,10,13,9,14,5,10,11,18,13,11,20,18,15,11,12,12,14,22,16,19,18,17,13,14,19,16,9,8,6,22,23,14,13,18,21,26,19,14,16,12,12,17,17,14,27,26,24,22,22,18,15,20,20,16,14,12,15,17,15,17,15,17,15,17,22,16,13,14,16,15,15,16,16,14,14,9,8,11,21,24,20,17,16,16,13,13,11,9,7,14,14,12,10,7,8,9,6,5,3,7,7,6,7,5,3,9,8,8,8,8,8,8,8,9,9,8,11,7,9,9,9,7,13,16,13,12,9,6,9,10,10,9,9,10,5,2,4,6,6,6,8,10,10,6,6,12,9,7,9,5,3,6,7,12,11,7,6,8,11,11,11,13,8,6,7,11,8,13,14,10,7,5,6,5,7,9,6,12,15,12,3,5,14,4,10,9,11,9,10,11,8,8,8,11,11,13,19,20,18,17,22,13,14,15,14,18,18,19,19,18,19,10,15,11,18,15,18,16,22,18,20,16,20,27,22,22,28,32,26,19,20,23,15,39,25,21,11,23,28
