Site,2015-10-19,2015-10-20,2015-10-21,2015-10-22,2015-10-23,2015-10-24,2015-10-25,2015-10-26,2015-10-29,2015-10-30,2015-10-31,2015-11-12,2015-11-13,2015-11-14,2015-11-15,2015-11-16,2015-11-17,2015-11-18,2015-11-19,2015-11-20,2015-11-22,2015-11-24,2015-11-25,2015-11-26,2015-11-27,2015-11-28,2015-11-29,2015-11-30,2015-12-01,2015-12-02,2015-12-03,2015-12-04,2015-12-05,2015-12-06,2015-12-07,2015-12-08,2015-12-09,2015-12-11,2015-12-12,2015-12-13,2015-12-14,2015-12-15,2015-12-16,2015-12-17,2015-12-18,2015-12-19,2015-12-20,2015-12-21,2015-12-22,2015-12-23,2015-12-24,2015-12-25,2015-12-26,2015-12-27,2015-12-28,2015-12-29,2015-12-30,2015-12-31,2016-01-01,2016-01-02,2016-01-03,2016-01-04,2016-01-05,2016-01-06,2016-01-07,2016-01-08,2016-01-09,2016-01-10,2016-01-11,2016-01-12,2016-01-13,2016-01-14,2016-01-15,2016-01-16,2016-01-17,2016-01-18,2016-01-19,2016-01-20,2016-01-21,2016-01-22,2016-01-23,2016-01-24,2016-01-25,2016-01-26,2016-01-27,2016-01-28,2016-01-29,2016-01-30,2016-01-31,2016-02-01,2016-02-02,2016-02-03,2016-02-04,2016-02-05,2016-02-06,2016-02-07,2016-02-08,2016-02-09,2016-02-10,2016-02-11,2016-02-12,2016-02-13,2016-02-14,2016-02-15,2016-02-16,2016-02-17,2016-02-18,2016-02-19,2016-02-20,2016-02-21,2016-02-22,2016-02-23,2016-02-24,2016-02-25,2016-02-26,2016-02-27,2016-02-28,2016-02-29,2016-03-02,2016-03-03,2016-03-04,2016-03-05,2016-03-06,2016-03-07,2016-03-08,2016-03-09,2016-03-10,2016-03-11,2016-03-12,2016-03-13,2016-03-14,2016-03-15,2016-03-16,2016-03-17,2016-03-18,2016-03-19,2016-03-20,2016-03-21,2016-03-22,2016-03-23,2016-03-25,2016-03-26,2016-03-27,2016-03-28,2016-03-29,2016-03-30,2016-03-31,2016-04-01,2016-04-02,2016-04-03,2016-04-04,2016-04-05,2016-04-06,2016-04-07,2016-04-08,2016-04-09,2016-04-10,2016-04-11,2016-04-12,2016-04-13,2016-04-14,2016-04-15,2016-04-16,2016-04-17,2016-04-18,2016-04-19,2016-04-20,2016-04-21,2016-04-22,2016-04-23,2016-04-24,2016-04-25,2016-04-26,2016-04-27,2016-04-28,2016-04-29,2016-04-30,2016-05-01,2016-05-02,2016-05-03,2016-05-04,2016-05-05,2016-05-06,2016-05-07,2016-05-08,2016-05-09,2016-05-10,2016-05-11
www.lotgd.net,399,400,397,402,405,400,401,410,416,414,404,378,374,377,374,379,380,389,387,396,392,397,401,406,405,396,392,395,394,392,394,389,391,398,398,391,383,385,387,386,385,386,380,376,371,377,368,368,370,370,374,368,364,362,367,369,372,370,366,370,373,378,381,382,378,372,371,372,381,374,368,359,356,358,357,355,356,353,350,353,353,358,364,370,371,364,364,361,360,362,362,355,353,355,356,356,359,362,356,358,361,362,360,357,359,362,360,367,374,378,382,388,386,388,390,382,375,378,378,372,384,379,380,370,369,376,377,372,364,363,365,367,369,362,361,361,360,358,355,354,348,345,345,341,338,339,350,342,341,344,346,345,344,346,345,344,346,345,349,344,356,354,350,346,348,351,355,355,350,345,348,349,347,346,368,345,340,335,337,337,334,330,333,337,335,330,337,341
www.dragonsofmyth.com,135,135,134,134,133,131,131,131,136,135,142,152,155,153,155,159,159,162,161,165,165,161,163,163,163,163,155,155,161,163,170,173,170,171,174,193,191,195,193,189,189,188,184,182,180,186,187,184,188,193,194,194,195,192,196,195,192,188,188,184,182,182,180,181,181,166,168,169,169,171,168,173,171,173,169,168,166,165,165,157,155,150,149,149,150,146,147,150,150,149,146,147,153,157,156,151,151,148,149,150,149,147,145,144,142,142,143,145,148,148,152,146,147,147,147,147,147,150,150,150,146,141,140,142,146,145,140,142,142,143,142,140,138,137,138,138,136,135,130,124,117,116,113,111,112,109,106,103,102,100,128,125,120,114,111,109,109,106,103,103,101,98,96,95,96,95,92,111,111,112,114,114,115,115,116,116,113,116,115,112,110,86,85,85,84,83,83,83
stormvalley.rpglink.in,27,25,25,25,25,26,26,25,26,25,25,22,21,21,21,20,19,19,21,21,20,19,19,18,18,17,18,18,18,17,17,17,17,18,18,18,18,18,18,17,17,17,17,17,17,15,14,13,13,12,12,12,12,13,13,14,13,15,20,20,20,21,21,23,25,27,26,26,26,26,26,26,26,26,28,28,28,28,28,29,31,31,32,32,33,33,33,31,30,29,29,30,28,29,29,26,24,24,24,23,23,24,25,25,24,24,25,26,27,26,24,24,25,25,25,26,26,25,25,25,25,25,24,26,27,26,27,28,28,29,29,25,24,24,24,23,21,22,22,22,22,22,22,22,22,22,22,22,23,23,23,24,24,22,22,22,21,23,23,20,20,20,21,21,21,21,20,19,20,20,19,19,19,18,19,19,18,19,19,19,20,20,21,21,20,20,22,19
dragonprimelogd.net,0,0,0,12,0,12,12,11,10,10,10,10,10,9,9,11,10,11,11,11,9,9,9,9,9,9,9,9,9,4,4,4,4,4,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,7,8,3,3,3,3,3,3,4,3,3,2,5,5,6,6,8,8,9,9,1,1,1,1,2,4,6,5,6,6,6,6,7,7,7,9,5,5,5,5,5,5,6,4,4,4,4,4,4,4,6,5,8,8,8,2,2,2,1,1,1,1,1,1,1,1,3,3,4,4,4,4,4,6,6,7,7,7,8,4,4,4,4,4,4,4,5,5,6,7,8,8,8,8,4,6,8,10,11,7,9,9,9,11,11,12,12,14,11,13,10,10,10,10,10,10,10,7,7,4,4,4,5,6,6,11,6,6,6,9,8,8,8,8,8,8,8,8,5
forbiddenrealm.rpglink.in,273,273,268,269,266,268,275,272,268,259,256,246,245,244,243,241,240,239,234,231,227,227,227,224,223,230,229,230,229,227,224,224,221,215,215,216,219,217,218,216,216,227,231,232,230,230,232,235,235,234,233,229,230,234,231,233,231,229,231,231,231,235,233,236,234,232,232,237,238,243,241,238,232,232,231,235,234,233,230,228,229,227,226,220,222,220,224,227,226,230,231,229,236,237,235,238,239,243,246,245,244,244,246,246,248,249,248,245,241,235,235,232,231,234,234,239,239,238,238,233,234,235,233,237,236,237,232,230,230,231,226,222,220,218,220,219,220,218,219,216,215,209,204,199,199,202,208,205,203,202,202,204,209,210,207,208,206,204,201,198,196,188,187,188,192,195,193,191,187,186,184,185,188,189,188,191,188,187,181,180,183,176,178,180,176,174,177,175
enchantedland.rpglink.in,43,42,44,43,41,41,40,40,36,36,35,31,31,30,29,28,28,29,27,27,27,30,31,29,27,28,27,27,27,28,28,29,28,27,27,29,29,27,27,27,27,27,27,28,28,27,27,26,26,26,27,26,26,26,26,26,28,29,28,27,27,28,28,28,28,27,27,27,27,27,27,27,28,28,29,29,29,28,28,28,28,27,27,26,26,25,23,23,23,22,21,23,23,23,22,23,24,28,27,28,27,27,26,26,25,25,25,25,26,25,27,27,27,27,26,26,26,26,26,26,26,25,25,26,25,25,25,24,24,22,22,22,22,23,23,23,23,23,22,20,20,18,17,19,18,18,19,19,19,19,21,21,23,24,24,26,26,27,27,27,28,28,28,28,28,28,28,28,28,28,29,29,28,28,27,27,27,27,27,27,28,31,30,29,29,27,25,24
twx.rpglink.in,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,3,3,3,4,5,5,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,6,6,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
ess.rpglink.in,7,6,6,6,6,6,6,7,7,7,6,7,7,7,7,7,7,7,7,7,7,6,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,3,3,3,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,4,4,4,5,5,5,7,7,8,7,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,3,4,4,4
lotgd4adults2.com,212,215,219,218,218,213,215,214,217,219,219,222,220,216,216,212,209,209,208,207,202,202,201,200,199,201,199,195,196,191,193,191,189,187,186,186,185,180,177,175,173,173,171,169,169,172,174,173,176,176,181,181,181,179,181,179,181,179,181,188,190,194,196,197,199,200,201,197,200,202,201,206,207,209,210,207,206,205,205,203,203,199,199,200,199,202,201,202,204,204,205,206,206,203,200,200,203,203,199,204,202,202,198,200,204,205,207,208,205,207,207,214,212,216,215,214,216,214,213,212,214,213,209,213,212,215,213,215,216,214,214,215,218,223,223,220,219,216,215,212,208,211,209,206,204,204,205,204,201,201,202,199,204,200,199,203,203,202,199,198,194,189,189,185,181,188,186,185,187,187,189,187,186,189,189,191,193,191,195,191,191,194,192,198,198,200,205,201
deathstar.rpglink.in,47,49,49,51,50,47,47,47,43,41,40,44,44,45,43,43,41,41,39,38,36,34,34,35,33,32,32,32,31,32,32,32,32,32,33,33,33,36,35,35,35,34,34,33,35,34,35,36,37,36,39,39,38,37,37,37,38,38,38,37,45,45,43,43,45,46,46,45,45,45,45,46,48,48,49,52,55,57,58,59,59,58,59,59,59,59,58,58,58,58,57,56,57,59,56,56,57,51,52,49,50,52,52,51,53,50,48,46,46,46,50,52,51,50,49,48,45,47,45,45,44,46,48,49,48,45,44,46,46,46,43,42,41,41,42,43,43,41,43,41,39,36,37,36,34,33,32,35,38,38,39,37,37,36,36,35,36,40,40,40,41,41,40,41,41,41,41,42,43,41,40,40,39,37,40,43,42,39,38,40,39,41,41,39,38,36,35,38
