Site,2015-10-19,2015-10-20,2015-10-21,2015-10-22,2015-10-23,2015-10-24,2015-10-25,2015-10-26,2015-10-29,2015-10-30,2015-10-31,2015-11-12,2015-11-13,2015-11-14,2015-11-15,2015-11-16,2015-11-17,2015-11-18,2015-11-19,2015-11-20,2015-11-21,2015-11-22,2015-11-23,2015-11-24,2015-11-25,2015-11-26,2015-11-27,2015-11-28,2015-11-29,2015-11-30,2015-12-01,2015-12-02,2015-12-03,2015-12-04,2015-12-05,2015-12-06,2015-12-07,2015-12-08,2015-12-09,2015-12-10,2015-12-11,2015-12-12,2015-12-13,2015-12-14,2015-12-15,2015-12-16,2015-12-17,2015-12-18,2015-12-19,2015-12-20,2015-12-21,2015-12-22,2015-12-23,2015-12-24,2015-12-25,2015-12-26,2015-12-27,2015-12-28,2015-12-29,2015-12-30
www.lotgd.net,501,502,499,505,499,502,503,512,520,519,510,480,476,479,476,481,482,491,490,499,496,495,494,500,497,502,501,492,488,491,490,488,490,485,493,496,500,493,483,480,481,485,483,482,484,480,475,470,474,468,465,466,467,469,463,461,459,465,466,468
www.dragonsofmyth.com,599,600,600,600,597,597,596,596,595,595,603,610,611,610,610,610,612,612,613,613,613,613,612,608,609,609,609,607,606,606,606,605,609,609,610,611,612,614,615,617,616,615,614,613,610,609,608,608,609,610,611,617,619,619,618,618,615,619,619,619
stormvalley.rpglink.in,268,268,269,269,269,270,270,270,271,271,271,270,270,270,270,270,270,270,271,271,271,271,271,271,271,271,271,271,271,271,271,271,270,269,269,270,269,269,269,269,269,268,268,268,267,267,267,267,267,267,267,267,266,266,266,266,267,267,268,268
dragonprimelogd.net,0,0,0,30,30,30,30,29,28,28,29,32,32,31,31,33,33,34,34,34,34,34,34,34,34,34,34,34,34,35,35,27,27,27,27,25,28,28,28,28,28,28,28,29,29,29,29,29,29,29,29,29,30,31,24,24,24,24,24,24
forbiddenrealm.rpglink.in,575,578,578,578,579,579,582,583,587,587,587,604,605,605,606,607,607,608,608,611,611,611,613,614,614,615,618,622,622,623,624,626,628,629,630,634,636,637,639,640,640,641,640,643,643,645,647,647,648,649,651,651,652,652,652,654,658,658,659,660
enchantedland.rpglink.in,93,93,94,94,94,94,94,94,95,95,95,97,97,97,97,98,98,98,98,98,98,98,98,99,99,99,99,99,99,99,99,100,100,100,100,100,100,102,102,102,102,102,102,102,102,102,103,103,102,102,102,102,102,103,103,104,104,104,104,105
twx.rpglink.in,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
ess.rpglink.in,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,31,31
lotgd4adults2.com,395,399,403,403,401,398,398,397,398,404,405,413,414,408,408,407,402,402,403,402,402,401,401,403,401,400,399,398,396,396,394,391,392,389,387,386,385,385,383,381,379,378,380,380,380,381,378,377,373,377,378,379,380,380,380,379,379,381,381,383
deathstar.rpglink.in,47,49,49,49,50,47,47,47,43,42,41,44,44,45,46,47,47,47,46,45,45,45,44,44,44,45,45,45,45,45,45,46,46,46,46,46,47,47,47,49,49,49,49,49,49,49,49,50,50,52,53,55,54,58,58,58,57,57,57,58
golden-empire.com,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
the-complex.net,,,,651,645,641,639,638,637,636,638,638,641,644,646,647,644,644,644,643,651,654,650,647,647,643,644,649,649,651,645,645,647,644,643,639,500,637,641,644,643,635,641,644,643,642,644,645,640,639,634,640,636,632,630,634,631,635,637,638
tynastera2.com,,,,56,55,55,54,54,55,54,54,54,54,54,54,53,54,54,53,53,53,53,53,53,53,54,54,54,54,54,55,55,55,55,55,56,56,56,54,55,56,54,54,55,56,57,0,55,56,56,56,0,56,56,56,56,54,54,56,56
www.lotgd.de,,,,,,,,,,,,1464,1467,1464,1468,1466,1465,1470,1467,1468,1465,1474,1474,1475,1474,1474,1478,1480,1481,1483,1484,1484,1490,1484,1487,1488,0,1485,1491,1490,1480,1481,1479,1480,1481,1478,1486,1488,1490,1487,1482,1479,1479,1481,1485,1482,1478,1480,1478,1478
